date,symbol,name,board,close,score,turnover,ret_3,ret_5,volume_ratio_5,market_limit_hits,market_limit_hit_rate,market_failed_limit_hits,board_limit_hits,limit_hits_5,failed_limit_hits_5,consecutive_limit_hits,suggest_reason
2026-08-05,000811.SZ,冰轮环境,main,35.88,0.2776496565478088,0.0,0.0723251643753737,-0.0821181887950882,0.6377683318017945,198,0.0358825661471547,45,165,2.0,1.0,1.0,短线动量强，市场情绪强，板块情绪强，近5日触板记忆
2026-08-05,002990.SZ,盛视科技,main,44.81,0.276004274413129,0.0,0.1867055084745763,-0.0057688040825382,0.5918242041855318,198,0.0358825661471547,45,165,2.0,1.0,1.0,短线动量强，市场情绪强，板块情绪强，近5日触板记忆
2026-08-05,002975.SZ,博杰股份,main,76.92,0.27477808834842743,0.0,0.1093164118834726,-0.0348808030112923,0.6694448683486847,198,0.0358825661471547,45,165,2.0,1.0,1.0,短线动量强，市场情绪强，板块情绪强，近5日触板记忆
2026-08-05,002281.SZ,光迅科技,main,172.32,0.2712117655436048,0.0,0.1312282544475806,-0.0072017053638301,0.9529253682019933,198,0.0358825661471547,45,165,2.0,1.0,1.0,短线动量强，市场情绪强，板块情绪强，近5日触板记忆
2026-08-05,003031.SZ,中瓷电子,main,100.3,0.2708526263409542,0.0,0.1009879253567509,0.0001994415636217,1.1528229771181302,198,0.0358825661471547,45,165,2.0,1.0,1.0,短线动量强，市场情绪强，板块情绪强，近5日触板记忆
2026-08-05,002913.SZ,奥士康,main,44.8,0.2672622846081633,0.0,0.1755444765153502,0.0616113744075828,0.8229516094519405,198,0.0358825661471547,45,165,2.0,1.0,1.0,短线动量强，市场情绪强，板块情绪强，近5日触板记忆
2026-08-05,000962.SZ,东方钽业,main,46.94,0.26628708477971297,0.0,0.1434835566382459,0.0199913081269011,0.8049860613600094,198,0.0358825661471547,45,165,2.0,1.0,1.0,短线动量强，市场情绪强，板块情绪强，近5日触板记忆
2026-08-05,600673.SH,东阳光,main,32.15,0.26624453339985293,0.0,0.247090768037238,0.1404753458673286,1.277509107957302,198,0.0358825661471547,45,165,2.0,0.0,1.0,短线动量强，市场情绪强，板块情绪强，近5日触板记忆
2026-08-05,002659.SZ,凯文教育,main,5.07,0.2662138480638697,0.0,0.207142857142857,0.2706766917293233,1.5653663675826763,198,0.0358825661471547,45,165,2.0,0.0,1.0,成交量放大，短线动量强，市场情绪强，板块情绪强，近5日触板记忆
2026-08-05,603203.SH,快克智能,main,39.05,0.2643798698066461,0.0,0.1163522012578617,-0.0190906807334841,0.8599590854192734,198,0.0358825661471547,45,165,2.0,1.0,1.0,短线动量强，市场情绪强，板块情绪强，近5日触板记忆
2026-08-05,300489.SZ,光智科技,chinext,169.2,0.2603698877494425,0.0,0.3470265106281347,0.1472742066720911,1.106533100208645,198,0.0358825661471547,45,26,2.0,1.0,1.0,短线动量强，市场情绪强，板块情绪强，近5日触板记忆
2026-08-05,605303.SH,园林股份,main,21.08,0.2591374845058594,0.0,0.2184971098265895,0.0738665308201731,0.8654138998965493,198,0.0358825661471547,45,165,2.0,1.0,1.0,短线动量强，市场情绪强，板块情绪强，近5日触板记忆
2026-08-05,002929.SZ,润建股份,main,54.01,0.25886303285786405,0.0,0.2384774134372849,0.0942058346839544,1.0246784454610465,198,0.0358825661471547,45,165,2.0,0.0,1.0,短线动量强，市场情绪强，板块情绪强，近5日触板记忆
2026-08-05,600183.SH,生益科技,main,112.23,0.25727708042636377,0.0,0.1214028776978417,-0.0102301790281329,0.8356056474630194,198,0.0358825661471547,45,165,2.0,1.0,1.0,短线动量强，市场情绪强，板块情绪强，近5日触板记忆
2026-08-05,603990.SH,麦迪科技,main,17.96,0.2566621045676794,0.0,-0.0022222222222221,-0.0587002096436057,1.4756567272507666,198,0.0358825661471547,45,165,1.0,0.0,1.0,市场情绪强，板块情绪强，近5日触板记忆
2026-08-05,603936.SH,博敏电子,main,13.44,0.2561233464663133,0.0,0.1256281407035175,0.0205011389521638,1.0723174492508587,198,0.0358825661471547,45,165,2.0,1.0,1.0,短线动量强，市场情绪强，板块情绪强，近5日触板记忆
2026-08-05,603306.SH,华懋科技,main,61.33,0.25580394387531885,0.0,0.1152936897617749,-0.0029263534384652,0.8220178504987102,198,0.0358825661471547,45,165,2.0,1.0,1.0,短线动量强，市场情绪强，板块情绪强，近5日触板记忆
2026-08-05,603083.SH,剑桥科技,main,148.69,0.25423340753606705,0.0,0.1426266041650656,-0.0492966751918159,0.9434413880673064,198,0.0358825661471547,45,165,1.0,0.0,1.0,短线动量强，市场情绪强，板块情绪强，近5日触板记忆
2026-08-05,002900.SZ,哈三联,main,12.4,0.2542276908072871,0.0,0.0726643598615917,-0.0446841294298921,0.5270468533913703,198,0.0358825661471547,45,165,1.0,0.0,1.0,短线动量强，市场情绪强，板块情绪强，近5日触板记忆
2026-08-05,600397.SH,江钨装备,main,13.95,0.2542184007155731,0.0,0.1304700162074554,0.0043196544276455,1.1257331303806524,198,0.0358825661471547,45,165,1.0,0.0,1.0,短线动量强，市场情绪强，板块情绪强，近5日触板记忆
2026-08-05,605167.SH,利柏特,main,15.84,0.24632666858292993,0.0,0.2374999999999998,0.2045627376425856,0.5577039676226075,198,0.0358825661471547,45,165,2.0,0.0,2.0,短线动量强，市场情绪强，板块情绪强，近5日触板记忆
